"","Sample_names","Sample","Type","Stain","Dilution","Tank","Day","Timepoint","Feeding_status","Time_cont","Counts","BacterialDensity","AlgalDensity","PercentageHNA","HNADensity"
"557","C08 Artemia.D6.2_FIXED_SG_10.fcs","Artemia.D6.2","FIXED","SG",10,"Artemia","D6","2","Artemia",6.20833333333333,11975,2391603.92243015,599.149208124463,82.5720250521921,1974795.78997823
"558","C08 T1.D1.7.A_FIXED_SG_10.fcs","T1.D1.7.A","FIXED","SG",10,"T1","D1","7","A",1.83333333333333,12823,2557286.16157789,29316.1557944279,88.8325664821025,2271702.92962128
"559","C08 T1.D12.2.A_FIXED_SG_10.fcs","T1.D12.2.A","FIXED","SG",10,"T1","D12","2","A",12.2083333333333,82426,27285246.1187063,662.054354662518,62.9097614830272,17165083.2533351
"560","C08 T1.D16.7.A_FIXED_SG_10.fcs","T1.D16.7.A","FIXED","SG",10,"T1","D16","7","A",16.8333333333333,27910,9276123.37144377,0,56.961662486564,5283834.08667907
"561","C08 T1.D4.3.B_FIXED_SG_10.fcs","T1.D4.3.B","FIXED","SG",10,"T1","D4","3","B",4.33333333333333,23450,7787334.37385847,8302.06223225849,72.1492537313433,5618503.63630326
"562","C08 T1.D5.8.A_FIXED_SG_10.fcs","T1.D5.8.A","FIXED","SG",10,"T1","D5","8","A",5.95833333333333,55281,18398176.1906347,31617.1331580524,71.2993614442575,13117782.1413119
"563","C08 T2.D9.5.A_FIXED_SG_10.fcs","T2.D9.5.A","FIXED","SG",10,"T2","D9","5","A",9.58333333333333,29867,9921272.92054212,12622.9072548499,66.6755951384471,6615067.76508105
"564","C08 T3.D13.1.A_FIXED_SG_10.fcs","T3.D13.1.A","FIXED","SG",10,"T3","D13","1","A",13.0833333333333,192571,64025999.933504,0,56.3620690550498,36086378.2957077
"565","C08 T3.D17.6.A_FIXED_SG_10.fcs","T3.D17.6.A","FIXED","SG",10,"T3","D17","6","A",17.7083333333333,230661,76759068.2196339,0,41.0767316538123,31530116.4725458
"566","C08 T3.D2.2.A_FIXED_SG_10.fcs","T3.D2.2.A","FIXED","SG",10,"T3","D2","2","A",2.20833333333333,2022,669647.292598112,18214.9362477231,78.9812067260139,528895.51250207
"567","C08 T3.D6.7.A_FIXED_SG_10.fcs","T3.D6.7.A","FIXED","SG",10,"T3","D6","7","A",6.83333333333333,66259,22043715.4833988,53895.801450529,77.7932054513349,17148512.8751081
"568","C08 T4.D10.4.A_FIXED_SG_10.fcs","T4.D10.4.A","FIXED","SG",10,"T4","D10","4","A",10.4583333333333,85406,28418460.7193957,28283.3660533058,63.6887338126127,18099357.8012178
"569","C08 T4.D14.8.A_FIXED_SG_10.fcs","T4.D14.8.A","FIXED","SG",10,"T4","D14","8","A",14.9583333333333,32818,10868686.8686869,331.180659049512,60.1468706197818,6537175.02897831
"570","C08 T4.D17.3.B_FIXED_SG_10.fcs","T4.D17.3.B","FIXED","SG",10,"T4","D17","3","B",17.3333333333333,60769,20195746.0950482,5982.05383848455,71.5348286132732,14446992.3562645
"571","C08 T5.D10.2.A_FIXED_SG_10.fcs","T5.D10.2.A","FIXED","SG",10,"T5","D10","2","A",10.2083333333333,34942,6975843.48173288,8384.90716709922,87.6824451948944,6116590.13775205
"572","C08 T5.D10.2.B_FIXED_SG_10.fcs","T5.D10.2.B","FIXED","SG",10,"T5","D10","2","B",10.2083333333333,34942,6975843.48173288,8384.90716709922,87.6824451948944,6116590.13775205
"573","C08 T5.D3.1.A_FIXED_SG_10.fcs","T5.D3.1.A","FIXED","SG",10,"T5","D3","1","A",3.08333333333333,3847,1274263.00099371,10599.5362702882,50.844814140889,647896.654521365
"574","C08 T5.D7.6.A_FIXED_SG_10.fcs","T5.D7.6.A","FIXED","SG",10,"T5","D7","6","A",7.70833333333333,44987,14953796.0377609,24265.3902406595,73.8035432458266,11036431.3256216
"575","C09 Artemia.D18.3_FIXED_SG_10.fcs","Artemia.D18.3","FIXED","SG",10,"Artemia","D18","3","Artemia",18.3333333333333,9922,2667204.30107527,22311.8279569892,49.4960693408587,1320161.29032258
