"","OTUOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)"
"97","Otu00037",1,3.62614575836423,1.1125656107609,0.0671914368812469
"98","Otu00037",2,3.19637613038904,0.950676635180516,0.246308751988085
"99","Otu00037",3,3.08147362192283,0.931357444876057,0.2728669769468
"100","Otu00038",1,2.03751872502006,0.751195774081,0.0218871614552988
"101","Otu00038",2,1.70107235527424,0.633993134522959,0.0300948334036204
"102","Otu00038",3,1.99842857911082,0.711087210317424,0.0117265877508822
"103","Otu00039",1,2.84289742678547,0.955535054063106,0.587674665790045
"104","Otu00039",2,3.57083102575848,1.02935442755495,0.440186633351431
"105","Otu00039",3,3.8562562239441,1.29199088465199,0.280064224760254
"106","Otu00040",1,4.64285236943845,1.24005674566034,0.00018141336500425
"107","Otu00040",2,4.83902096546227,1.48288502249064,0.000514818126667941
"108","Otu00040",3,5.06070246224113,1.31729050490994,9.10100151665048e-09
"109","Otu00041",1,4.04903361218861,1.24012311777877,0.499809226651185
"110","Otu00041",2,3.23284038797356,0.931450323973404,0.626111912421984
"111","Otu00041",3,6.59588168547707,1.68744234536973,0.0807360726789563
"112","Otu00042",1,1.42555546536635,0.460841639814918,0.199547138337178
"113","Otu00042",2,2.65997504481187,0.747860368012394,0.101842523466042
"114","Otu00042",3,1.55456567120137,0.438244621527722,0.241723546443338
"115","Otu00043",1,3.51097215306915,1.19675322690607,0.000649003448643015
"116","Otu00043",2,2.70757861614115,0.93216031425717,0.00931488544662456
"117","Otu00043",3,2.1373909340822,0.898356554241218,0.0297986972396837
"118","Otu00045",1,1.09242379477324,0.558001904074127,0.31524334362692
"119","Otu00045",2,1.04018311534613,0.548681315657021,0.300718829102788
"120","Otu00045",3,1.00630792594201,0.530101050744501,0.333451119707066
"121","Otu00046",1,2.73197557030667,0.930927889183187,0.00646649761669183
"122","Otu00046",2,2.52068397902524,0.776492976698147,0.00762897293293106
"123","Otu00046",3,3.21443966290097,0.90643266461238,0.0257574219362453
"124","Otu00047",1,3.71339600386965,1.019460883116,0.314032710584012
"125","Otu00047",2,4.00144303354026,1.24603306943779,0.281370169080254
"126","Otu00047",3,2.43266769599428,0.799005121810717,0.553514034778694
"127","Otu00048",1,2.43011962890653,0.961553862860601,0.624767386500706
"128","Otu00048",2,2.39682991255556,0.776022470164232,0.707120506900581
"129","Otu00048",3,3.14052935838264,1.05581445307834,0.504292086143
"130","Otu00049",1,1.08596082861861,0.486593288425153,0.436199588793773
"131","Otu00049",2,1.24168845871983,0.544369363675821,0.315661206270813
"132","Otu00049",3,1.38842055520562,0.585855720840606,0.17698976287486
"133","Otu00050",1,0.92313493803212,0.387640038485466,0.525579921919723
"134","Otu00050",2,0.966058021342629,0.390828571764781,0.527187847992538
"135","Otu00050",3,0.825838257312489,0.347188501712537,0.643251437577388
