"","OTUOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)","AUC_ALL"
"92","Otu00034",2,2.5201858303588,0.58980117286951,0.28951420268062,0.955625
"93","Otu00034",3,2.8865349806018,0.770550272114619,0.0829980063891543,0.924775707384403
"94","Otu00035",1,0.417076888224925,0.194861675656375,0.0809051818153538,0.939965694682676
"95","Otu00035",2,0.400558204896058,0.19178814614014,0.11690278484566,0.966266437964551
"96","Otu00035",3,0.413366942005813,0.20000727265672,0.0993220619868937,0.970991561181435
"97","Otu00036",1,2.57211558205883,0.752682539435832,0.0756195268638715,0.809
"98","Otu00036",2,2.07927390968095,0.591077366520452,0.0679187010060939,0.804641812865497
"99","Otu00036",3,2.36605855166098,0.673129789427048,0.142098026200505,0.805666666666667
"100","Otu00037",1,3.66153393217266,0.721546957613567,0.200787560406969,0.813108766233766
"101","Otu00037",2,2.48980357515194,0.680062214711944,0.398566625128726,0.82641291810842
"102","Otu00037",3,1.99877137395178,0.581184171458843,0.583074505320913,0.831505847953216
"103","Otu00038",1,1.66736333823825,0.648270001547844,0.00636867811049018,0.779175050301811
"104","Otu00038",2,1.40350144955577,0.58703398549365,0.0153440046807232,0.744366744366744
"105","Otu00038",3,1.61838985733203,0.575907240956079,0.00978317425773725,0.832532051282051
"106","Otu00039",1,1.78778229799825,0.440809792099713,0.727988028310696,0.9505431675243
"107","Otu00039",2,2.2908504928307,0.559840221446662,0.598504403795443,0.964926160337553
"108","Otu00039",3,2.71141929059034,0.67746254571211,0.381204436274545,0.940928270042194
"109","Otu00040",1,3.50148518439664,0.711961387404491,0.00237008305412421,0.939000489955904
"110","Otu00040",2,3.9910158143587,0.918700202253102,0.134358474391938,0.858494623655914
"111","Otu00040",3,3.43225882797023,0.690569514004806,0.00322161160422203,0.924301812836845
"112","Otu00041",1,3.04411174909484,0.733752373585879,0.534136815552487,0.955815018315018
"113","Otu00041",2,2.51509853488371,0.536632332420093,0.588906854749743,0.995253164556962
"114","Otu00041",3,2.9650666198854,0.606608175948517,0.47696133894133,0.97109260166585
"115","Otu00042",1,2.67200095525567,0.651512326653895,0.00852021881177582,0.802150537634409
"116","Otu00042",2,2.12876031909729,0.483315338040595,0.137973554731526,0.82989247311828
"117","Otu00042",3,2.35487970943235,0.580624127328835,0.063365576474118,0.814102564102564
"118","Otu00043",1,2.21838018137405,0.782571675348715,0.0266564075856029,0.853767942583732
"119","Otu00043",2,2.33124674078443,0.864431996382027,0.0178085306753281,0.851047171657859
"120","Otu00043",3,1.74891643744027,0.684123447339554,0.0506237866504649,0.871012759170654
"121","Otu00045",1,1.00563936587037,0.467537742717302,0.30179958858732,0.894701086956522
"122","Otu00045",2,1.40663506023237,0.566266484355671,0.183376795728064,0.871599203715992
"123","Otu00045",3,1.28041150877455,0.562648938614435,0.104985196752297,0.876547619047619
"124","Otu00046",1,1.79455866686328,0.433613808699655,0.0311224705331865,0.896360759493671
"125","Otu00046",2,1.8868491729611,0.491632177045956,0.0287354822637598,0.84639882410583
"126","Otu00046",3,1.80948510770687,0.437524628616072,0.0138341523882637,0.910338069573738
"127","Otu00047",1,1.47051822876243,0.393498133097769,0.72769383244598,0.966772151898734
"128","Otu00047",2,1.97368421904322,0.447141607861465,0.50946298527922,0.983649789029536
"129","Otu00047",3,2.16118679320495,0.506194808283067,0.507912322857618,0.969622733953944
"130","Otu00048",1,2.30068139830118,0.67018746274709,0.438183227686382,0.943409247757074
"131","Otu00048",2,2.65038823056158,0.622240028342817,0.315308819409489,0.965493443754313
"132","Otu00048",3,2.25826213297079,0.651557736098309,0.509996491030521,0.9765625
"133","Otu00049",1,0.983050545201659,0.416481907113049,0.344149902306303,0.808504566210046
"134","Otu00049",2,1.16497972745617,0.516877721231548,0.130013806571937,0.848
"135","Otu00049",3,1.05318089990119,0.45006074052954,0.291143123467489,0.824755989352263
"136","Otu00050",1,1.1104966163194,0.415066908528894,0.300628236716139,0.781719399169064
"137","Otu00050",2,0.933194055515638,0.338065858849821,0.454151837247882,0.804833333333333
"138","Otu00050",3,1.02876996688773,0.39627431030794,0.372278916574922,0.770730958230958
