"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue"
"75_6_19.fcs","Ppolymyxa",1,4,"Present","Present",0.698438628975741,0.698438628975741,0.75
"80_19_1.fcs","Ppolymyxa",1,4,"Present","Present",0.715428313521368,0.715428313521368,0.8
"90_1_9.fcs","Ppolymyxa",1,4,"Present","Present",0.856095078475994,0.856095078475994,0.9
"0,007_0,003_99,99.fcs1","Ppolymyxa",1,5,"Absent","Absent",6.30780825367795e-05,0,7e-05
"50_10_40.fcs","Ppolymyxa",1,5,"Present","Present",0.645794360111232,0.645794360111232,0.5
"70_1_29.fcs","Ppolymyxa",1,5,"Present","Present",0.776942184778646,0.776942184778646,0.7
"77_4_19.fcs","Ppolymyxa",1,5,"Present","Present",0.781124432210167,0.781124432210167,0.77
"80_2_18.fcs","Ppolymyxa",1,5,"Present","Present",0.832106251409377,0.832106251409377,0.8
"90_10_0.fcs","Ppolymyxa",1,5,"Present","Present",0.735387811885183,0.735387811885183,0.9
"0_0_100.fcs1","Ppolymyxa",2,1,"Absent","Absent",0.000535111334100014,0,0
"33_33_33.fcs1","Ppolymyxa",2,1,"Present","Present",0.61823660708221,0.61823660708221,0.33
"50_50_0.fcs1","Ppolymyxa",2,1,"Present","Present",0.535782755915089,0.535782755915089,0.5
"73_8_19.fcs1","Ppolymyxa",2,1,"Present","Present",0.696903655008587,0.696903655008587,0.73
"79_2_19.fcs1","Ppolymyxa",2,1,"Present","Present",0.831223019028308,0.831223019028308,0.79
"80_4_16.fcs1","Ppolymyxa",2,1,"Present","Present",0.800389070197035,0.800389070197035,0.8
"99,99_0,007_0,003.fcs1","Ppolymyxa",2,1,"Present","Present",0.9999713936395,0.9999713936395,0.9999
"0_100_0.fcs1","Ppolymyxa",2,2,"Absent","Absent",0.00771651581282193,0,0
"50_0_50.fcs1","Ppolymyxa",2,2,"Present","Present",0.995761760859929,0.995761760859929,0.5
"53,3_4_42,7.fcs1","Ppolymyxa",2,2,"Present","Present",0.692005729373179,0.692005729373179,0.533
"75_1_24.fcs1","Ppolymyxa",2,2,"Present","Present",0.828240043182386,0.828240043182386,0.75
"80_1_19.fcs1","Ppolymyxa",2,2,"Present","Present",0.838280150898671,0.838280150898671,0.8
"80_6_14.fcs1","Ppolymyxa",2,2,"Present","Present",0.787692998878385,0.787692998878385,0.8
"100_0_0.fcs1","Ppolymyxa",2,2,"Present","Present",0.998260625361327,0.998260625361327,1
"0_50_50.fcs1","Ppolymyxa",2,3,"Present","Absent",0.000991392831869269,0.000991392831869269,0
"50_1_49.fcs1","Ppolymyxa",2,3,"Present","Present",0.731685560892011,0.731685560892011,0.5
"60_1_39.fcs1","Ppolymyxa",2,3,"Present","Present",0.741360454973429,0.741360454973429,0.6
"75_6_19.fcs1","Ppolymyxa",2,3,"Present","Present",0.702344663915153,0.702344663915153,0.75
"80_10_10.fcs1","Ppolymyxa",2,3,"Present","Present",0.716369771746208,0.716369771746208,0.8
"80_8_12.fcs1","Ppolymyxa",2,3,"Present","Present",0.772735413235425,0.772735413235425,0.8
"0,003_99,99_0,007.fcs1","Ppolymyxa",2,4,"Absent","Absent",0.0114993548442009,0,3e-05
"50_10_40.fcs1","Ppolymyxa",2,4,"Present","Present",0.589063008160279,0.589063008160279,0.5
"60_10_30.fcs1","Ppolymyxa",2,4,"Present","Present",0.561768931222817,0.561768931222817,0.6
"77_4_19.fcs1","Ppolymyxa",2,4,"Present","Present",0.773450594911784,0.773450594911784,0.77
"80_19_1.fcs1","Ppolymyxa",2,4,"Present","Present",0.651583762115103,0.651583762115103,0.8
"90_1_9.fcs1","Ppolymyxa",2,4,"Present","Present",0.860118532603311,0.860118532603311,0.9
"0,007_0,003_99,99.fcs2","Ppolymyxa",2,5,"Absent","Absent",0.000338057727649004,0,7e-05
"33_33_33.fcs2","Ppolymyxa",2,5,"Present","Present",0.227303739906648,0.227303739906648,0.33
"70_1_29.fcs1","Ppolymyxa",2,5,"Present","Present",0.783047649728232,0.783047649728232,0.7
"73_8_19.fcs2","Ppolymyxa",2,5,"Present","Present",0.719951573097101,0.719951573097101,0.73
"80_2_18.fcs1","Ppolymyxa",2,5,"Present","Present",0.838936225798595,0.838936225798595,0.8
"90_10_0.fcs1","Ppolymyxa",2,5,"Present","Present",0.809728845054804,0.809728845054804,0.9
"0_0_100.fcs2","Ppolymyxa",3,1,"Present","Absent",0.000309867717584431,0.000309867717584431,0
"0,007_0,003_99,99.fcs3","Ppolymyxa",3,1,"Present","Absent",0.000309867717584431,0.000309867717584431,7e-05
"53,3_4_42,7.fcs2","Ppolymyxa",3,1,"Present","Present",0.60627611208237,0.60627611208237,0.533
"70_10_20.fcs1","Ppolymyxa",3,1,"Present","Present",0.692382351156316,0.692382351156316,0.7
"79_2_19.fcs2","Ppolymyxa",3,1,"Present","Present",0.855742762771227,0.855742762771227,0.79
"80_6_14.fcs2","Ppolymyxa",3,1,"Present","Present",0.765799221723483,0.765799221723483,0.8
"99,99_0,007_0,003.fcs2","Ppolymyxa",3,1,"Present","Present",0.995756766626664,0.995756766626664,0.9999
