"","rep","fold","Cat","ID","Predicted","Real","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM19_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM19_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","OTU"
"70_10_20.fcs8",9,1,"NOFS","70_10_20.fcs",0.694952133327569,0.7,6.94643645926433,37.0412383281829,0.0385909368693192,17.9060694746125,6.82549044376885,15.4406884407673,17.1343736344921,8.31923867570178,0.953896814158637,23.1874061451783,8.71547533900972,36.2463698758261,4.26633168980523,7.30798415679631,9.46482727231774,100,96.6135655390527,17.4037654118741,27.8347727782676,27.7269179814962,0,42.9475707507823,40.7868515732085,11.1634906665088,8.84356906410157,31.3528137291813,0.152468206752927,5.93121103026682,2.35134743391548,1.2277719412951,2.03253734732668,1.79477923717277,2.37495060417269,2.06810151404036,0.195341541652006,0.378523558201519,5.83886857796676,2.26463617660399,2.65051708723252,3.01964738078092,2.04188784157364,0.0621480673127528,34.0224689626101,5.56892957761539,3.56364670313265,1.79904846848673,3.41344517817523,0.952997403168816,2.6183361538035,2.91347691748597,1.22692381680892,5.59438143291302,1.8866577503004,2.20741829598524,"Ppolymyxa"
"79_2_19.fcs9",9,1,"NOFS","79_2_19.fcs",0.826507327535674,0.79,6.94643645926433,37.0412383281829,0.0385909368693192,17.9060694746125,6.82549044376885,15.4406884407673,17.1343736344921,8.31923867570178,0.953896814158637,23.1874061451783,8.71547533900972,36.2463698758261,4.26633168980523,7.30798415679631,9.46482727231774,100,96.6135655390527,17.4037654118741,27.8347727782676,27.7269179814962,0,42.9475707507823,40.7868515732085,11.1634906665088,8.84356906410157,31.3528137291813,0.152468206752927,5.93121103026682,2.35134743391548,1.2277719412951,2.03253734732668,1.79477923717277,2.37495060417269,2.06810151404036,0.195341541652006,0.378523558201519,5.83886857796676,2.26463617660399,2.65051708723252,3.01964738078092,2.04188784157364,0.0621480673127528,34.0224689626101,5.56892957761539,3.56364670313265,1.79904846848673,3.41344517817523,0.952997403168816,2.6183361538035,2.91347691748597,1.22692381680892,5.59438143291302,1.8866577503004,2.20741829598524,"Ppolymyxa"
"80_4_16.fcs8",9,1,"NOFS","80_4_16.fcs",0.802589606778276,0.8,6.94643645926433,37.0412383281829,0.0385909368693192,17.9060694746125,6.82549044376885,15.4406884407673,17.1343736344921,8.31923867570178,0.953896814158637,23.1874061451783,8.71547533900972,36.2463698758261,4.26633168980523,7.30798415679631,9.46482727231774,100,96.6135655390527,17.4037654118741,27.8347727782676,27.7269179814962,0,42.9475707507823,40.7868515732085,11.1634906665088,8.84356906410157,31.3528137291813,0.152468206752927,5.93121103026682,2.35134743391548,1.2277719412951,2.03253734732668,1.79477923717277,2.37495060417269,2.06810151404036,0.195341541652006,0.378523558201519,5.83886857796676,2.26463617660399,2.65051708723252,3.01964738078092,2.04188784157364,0.0621480673127528,34.0224689626101,5.56892957761539,3.56364670313265,1.79904846848673,3.41344517817523,0.952997403168816,2.6183361538035,2.91347691748597,1.22692381680892,5.59438143291302,1.8866577503004,2.20741829598524,"Ppolymyxa"
"99,99_0,007_0,003.fcs9",9,1,"NOFS","99,99_0,007_0,003.fcs",0.994038041154386,0.9999,6.94643645926433,37.0412383281829,0.0385909368693192,17.9060694746125,6.82549044376885,15.4406884407673,17.1343736344921,8.31923867570178,0.953896814158637,23.1874061451783,8.71547533900972,36.2463698758261,4.26633168980523,7.30798415679631,9.46482727231774,100,96.6135655390527,17.4037654118741,27.8347727782676,27.7269179814962,0,42.9475707507823,40.7868515732085,11.1634906665088,8.84356906410157,31.3528137291813,0.152468206752927,5.93121103026682,2.35134743391548,1.2277719412951,2.03253734732668,1.79477923717277,2.37495060417269,2.06810151404036,0.195341541652006,0.378523558201519,5.83886857796676,2.26463617660399,2.65051708723252,3.01964738078092,2.04188784157364,0.0621480673127528,34.0224689626101,5.56892957761539,3.56364670313265,1.79904846848673,3.41344517817523,0.952997403168816,2.6183361538035,2.91347691748597,1.22692381680892,5.59438143291302,1.8866577503004,2.20741829598524,"Ppolymyxa"
"0_0_100.fcs18",9,1,"FS","0_0_100.fcs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57498012063199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0173458253626,27.4076740540054,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"0,007_0,003_99,99.fcs115",9,1,"FS","0,007_0,003_99,99.fcs",0,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57498012063199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0173458253626,27.4076740540054,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"50_50_0.fcs17",9,1,"FS","50_50_0.fcs",0.341967822457471,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57498012063199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0173458253626,27.4076740540054,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"70_10_20.fcs17",9,1,"FS","70_10_20.fcs",0.692175227352228,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57498012063199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0173458253626,27.4076740540054,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"79_2_19.fcs18",9,1,"FS","79_2_19.fcs",0.881623524061038,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57498012063199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0173458253626,27.4076740540054,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"80_4_16.fcs17",9,1,"FS","80_4_16.fcs",0.860822228532306,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57498012063199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0173458253626,27.4076740540054,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
