"","OTUOfInterest","rep","RMSE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","MAE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","R2(AllPredictionsNS$Predicted, AllPredictionsNS$Real)"
"84","Otu00032",3,0.926658325475961,0.33695652173913,0.790459286178994
"85","Otu00033",1,4.7979587496419,1.36734693877551,0.430427126431815
"86","Otu00033",2,4.68926937931998,1.38709677419355,0.47776547476621
"87","Otu00033",3,4.18070100217239,1.30434782608696,0.469106418714664
"88","Otu00034",1,3.99233960356632,1.16326530612245,0.0422430568646205
"89","Otu00034",2,3.05152879012951,0.752688172043011,0.324945702378569
"90","Otu00034",3,4.97275184073821,1.27173913043478,0.0760338667647711
"91","Otu00035",1,0.606091526731326,0.306122448979592,0.0640061126131421
"92","Otu00035",2,0.647576125802733,0.333333333333333,NA
"93","Otu00035",3,0.598912057128518,0.293478260869565,0.0305705223738011
"94","Otu00036",1,3.34724986110285,1.02040816326531,0.000806658742051185
"95","Otu00036",2,3.12637066714539,0.978494623655914,0.0488258213762722
"96","Otu00036",3,3.72856190950928,1.20652173913043,0.00317478397040998
"97","Otu00037",1,3.62530786869986,1.12244897959184,0.0687287177889423
"98","Otu00037",2,3.25939502269647,0.967741935483871,0.262441390237909
"99","Otu00037",3,3.22355461374956,0.978260869565217,0.255078766629088
"100","Otu00038",1,1.65985000551746,0.571428571428571,0.0418785128011315
"101","Otu00038",2,1.80798705866526,0.602150537634409,0.0208536429129344
"102","Otu00038",3,1.64184413813037,0.543478260869565,0.0185927893937474
"103","Otu00039",1,2.87139303460597,0.938775510204082,0.5884472016873
"104","Otu00039",2,3.27420679058713,0.806451612903226,0.390848477627475
"105","Otu00039",3,3.86455464558281,1.21739130434783,0.312647744632458
"106","Otu00040",1,4.71969386762337,1.25510204081633,0.000408868158897661
"107","Otu00040",2,5.00429922693359,1.53763440860215,0.000723256296201696
"108","Otu00040",3,5.2801926842312,1.42391304347826,2.41745779825573e-06
"109","Otu00041",1,4.0355562548073,1.22448979591837,0.498338820018578
"110","Otu00041",2,3.29548403937319,0.946236559139785,0.625968803635403
"111","Otu00041",3,6.81669944359789,1.77173913043478,0.0797091847270852
"112","Otu00042",1,1.38873014965883,0.418367346938776,0.205487073460941
"113","Otu00042",2,1.79005616539505,0.494623655913978,0.209732756050737
"114","Otu00042",3,1.65503185310211,0.456521739130435,0.214051222580038
"115","Otu00043",1,3.53697668661141,1.22448979591837,0.000840310374883924
"116","Otu00043",2,2.7882240850382,0.956989247311828,0.0149017784044293
"117","Otu00043",3,2.11875681350706,0.880434782608696,0.0250960879602491
"118","Otu00045",1,1.12938487863156,0.520408163265306,0.336358392132345
"119","Otu00045",2,1.11200680743642,0.548387096774194,0.279806760070718
"120","Otu00045",3,1.10826931274182,0.554347826086957,0.303584345530353
"121","Otu00046",1,2.71240536372107,0.928571428571429,0.0113668402989181
"122","Otu00046",2,2.47134110994829,0.752688172043011,0.00953895995392834
"123","Otu00046",3,3.32480793822545,0.923913043478261,0.0305754944033525
"124","Otu00047",1,3.75390952670597,1.01020408163265,0.306327283305045
"125","Otu00047",2,3.47494875029896,1.06451612903226,0.36882860875297
"126","Otu00047",3,2.54096866157976,0.847826086956522,0.551281653764435
"127","Otu00048",1,2.43486579272276,0.948979591836735,0.614564948974979
"128","Otu00048",2,2.42744168174635,0.795698924731183,0.670536606931761
"129","Otu00048",3,3.09628107925284,1.04347826086957,0.487766315187833
"130","Otu00049",1,1.15617243258847,0.479591836734694,0.410538475496148
"131","Otu00049",2,1.25295349998245,0.494623655913978,0.345628047364755
"132","Otu00049",3,1.4142135623731,0.565217391304348,0.180336163128924
"133","Otu00050",1,0.925820099772551,0.326530612244898,0.515845917215052
"134","Otu00050",2,0.950381926622983,0.32258064516129,0.562809855918824
"135","Otu00050",3,0.834057656228299,0.282608695652174,0.64303370060527
