"","OTUOfInterest","rep","RMSE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","MAE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","R2(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","AUC_NS"
"111","Otu00040",3,4.41957109860812,1.05434782608696,0.000336699436963719,0.867469879518072
"112","Otu00041",1,4.01400609092203,1.23469387755102,0.507835558152211,0.92984693877551
"113","Otu00041",2,3.39116499156263,0.966666666666667,0.582102072255756,0.991452991452991
"114","Otu00041",3,4.01491783445083,1.07608695652174,0.449106282484533,0.949367088607595
"115","Otu00042",1,2.60298102261266,0.714285714285714,0.0250367341287527,0.954022988505747
"116","Otu00042",2,1.36626010212795,0.4,0.435780509951714,0.975625
"117","Otu00042",3,1.87373145493622,0.554347826086957,0.264151495813961,0.971951219512195
"118","Otu00043",1,2.72928188207754,0.979591836734694,0.0249975274665101,0.810049019607843
"119","Otu00043",2,3.112698007981,1.26666666666667,0.00361449935011932,0.777483833039389
"120","Otu00043",3,2.05627353957717,0.83695652173913,0.0629720651968858,0.801424501424501
"121","Otu00045",1,1.18666055184544,0.612244897959184,0.325153681161157,0.896231884057971
"122","Otu00045",2,1.82574185835055,0.8,0.172552644272467,0.845922459893048
"123","Otu00045",3,1.62854963481113,0.739130434782609,0.0732187265314269,0.873051948051948
"124","Otu00046",1,2.37332110369088,0.714285714285714,0.0254745949119269,0.833817829457364
"125","Otu00046",2,2.43356163312586,0.788888888888889,0.0266589432949529,0.764672036823936
"126","Otu00046",3,2.43837080320304,0.684782608695652,0.0112294984800294,0.851851851851852
"127","Otu00047",1,1.961361459678,0.663265306122449,0.713037707008563,0.946220930232558
"128","Otu00047",2,2.76284877134695,0.833333333333333,0.476393301263558,0.97542735042735
"129","Otu00047",3,2.95252287109648,0.847826086956522,0.393048870596665,0.947916666666667
"130","Otu00048",1,2.95545155222531,1.12244897959184,0.435529527661903,0.900124843945069
"131","Otu00048",2,3.6484395446699,1.11111111111111,0.242940390649872,0.94359756097561
"132","Otu00048",3,2.98729192471681,1.1195652173913,0.476117686927912,0.956492637215529
"133","Otu00049",1,1.20796675180627,0.5,0.383140204081585,0.909222948438635
"134","Otu00049",2,1.46818103636968,0.622222222222222,0.2028786935803,0.96875
"135","Otu00049",3,1.35534369137099,0.554347826086957,0.284766818760237,0.916940789473684
"136","Otu00050",1,0.735402152927643,0.295918367346939,0.693686021218885,0.918367346938776
"137","Otu00050",2,0.862811940369652,0.3,0.642386765403809,0.910714285714286
"138","Otu00050",3,1.0215078369105,0.369565217391304,0.519377514999354,0.862179487179487
